API Key,Date,Year,Home Team,Away Team,Home Score,Away Score,Final Score,Winning Team,# Innings,End Top Inning?,Home Team PA #,Away Team PA #,Total Number PA,Homne Team # Pitches,Away Team # Pitches,Total # Pitches,Home Team Baserunners,Away Team Baserunners,Total # Baserunners,Pitching Changes,Time
634532,2021-04-18,2021,BOS,CHA,2,3,3-2,CHA,7,false,26,28,54,93,91,184,8,8,16,2,2:04
633922,2021-05-27,2021,NYN,COL,1,0,1-0,NYN,7,true,21,26,47,102,62,164,4,5,9,0,1:54
634465,2021-05-20,2021,ANA,MIN,7,1,7-1,ANA,7,true,29,25,54,80,107,187,12,5,17,0,1:55
634561,2021-04-17,2021,COL,NYN,7,2,7-2,COL,7,true,29,25,54,87,107,194,11,4,15,0,2:11
634222,2021-07-17,2021,DET,MIN,1,0,1-0,DET,7,true,25,23,48,85,100,185,7,2,9,1,1:55
634465,2021-05-20,2021,ANA,MIN,7,1,7-1,ANA,7,true,29,25,54,80,107,187,12,5,17,0,1:55
634040,2021-05-28,2021,BOS,MIA,5,2,5-2,BOS,6,true,23,25,48,95,90,185,7,8,15,1,2:07 (1:25 delay)
634595,2021-04-07,2021,WAS,ATL,0,2,2-0,ATL,7,false,25,27,52,113,105,218,6,6,12,0,2:08
634595,2021-04-07,2021,WAS,ATL,0,2,2-0,ATL,7,false,25,27,52,113,105,218,6,6,12,0,2:08
634561,2021-04-17,2021,COL,NYN,7,2,7-2,COL,7,true,29,25,54,87,107,194,11,4,15,0,2:11
634434,2021-04-23,2021,MIN,PIT,2,0,2-0,MIN,9,true,28,31,59,123,92,215,5,4,9,2,2:17
634466,2021-04-20,2021,OAK,MIN,1,0,1-0,OAK,7,true,22,25,47,103,102,205,6,4,10,1,2:08 (:25 delay)
634477,2021-04-17,2021,KCA,TOR,1,5,5-1,TOR,7,false,25,29,54,129,94,223,6,8,14,1,2:10
634380,2021-04-25,2021,ATL,ARI,0,7,7-0,ARI,7,false,21,33,54,129,98,227,0,12,12,1,2:11
634472,2021-04-15,2021,BAL,SEA,1,2,2-1,SEA,7,false,26,29,55,119,92,211,6,10,16,1,2:01
634518,2021-04-18,2021,BOS,CHA,1,5,5-1,CHA,7,false,26,32,58,116,98,214,5,13,18,3,2:24
634466,2021-04-20,2021,OAK,MIN,1,0,1-0,OAK,7,true,22,25,47,103,102,205,6,4,10,1,2:08 (:25 delay)
634423,2021-04-21,2021,DET,PIT,5,2,5-2,DET,7,true,25,26,51,86,88,174,9,5,14,1,1:55
634468,2021-04-18,2021,COL,NYN,1,2,2-1,NYN,9,false,30,34,64,119,100,219,5,7,12,0,2:38
634520,2021-04-17,2021,KCA,TOR,3,2,3-2,KCA,7,false,30,27,57,95,106,201,9,6,15,4,2:21
632226,2021-04-13,2021,NYN,PHI,4,0,4-0,NYN,7,true,30,25,55,99,124,223,12,6,18,0,2:30
632226,2021-04-13,2021,NYN,PHI,4,0,4-0,NYN,7,true,30,25,55,99,124,223,12,6,18,0,2:30
634518,2021-04-18,2021,BOS,CHA,1,5,5-1,CHA,7,false,26,32,58,116,98,214,5,13,18,3,2:24
634485,2021-04-17,2021,COL,NYN,3,4,4-3,NYN,7,false,26,32,58,117,112,229,4,12,16,0,2:27
632201,2021-04-10,2021,NYN,MIA,0,3,3-0,MIA,9,false,31,35,66,113,112,225,5,9,14,1,2:36
633974,2021-05-27,2021,NYA,TOR,0,2,2-0,TOR,7,false,25,28,53,123,96,219,4,7,11,1,2:11
