API Key,Date,Year,Home Team,Away Team,Home Score,Away Score,Final Score,Winning Team,# Innings,End Top Inning?,Home Team PA #,Away Team PA #,Total Number PA,Homne Team # Pitches,Away Team # Pitches,Total # Pitches,Home Team Baserunners,Away Team Baserunners,Total # Baserunners,Pitching Changes,Time
385475,2014-03-30,2014,HOU,VRA,6,1,6-1,HOU,9,true,37,32,69,116,130,246,15,7,22,2,2:31
380546,2014-03-30,2014,SDN,LAN,3,1,3-1,SDN,9,true,33,34,67,133,125,258,9,7,16,3,2:49
380547,2014-03-31,2014,CHA,MIN,5,3,5-3,CHA,9,true,34,34,68,133,130,263,13,8,21,3,2:35
380544,2014-03-31,2014,MIA,COL,10,1,10-1,MIA,9,true,41,33,74,128,155,283,17,7,24,1,2:58
380551,2014-03-31,2014,CIN,SLN,0,1,1-0,SLN,9,false,36,34,70,128,140,268,9,7,16,3,2:56
380552,2014-03-31,2014,TBA,TOR,9,2,9-2,TBA,9,true,44,34,78,129,154,283,21,8,29,1,3:04
380543,2014-03-31,2014,OAK,CLE,0,2,2-0,CLE,9,false,36,40,76,161,141,302,9,13,22,2,3:15
380545,2014-03-31,2014,DET,KCA,4,3,4-3,DET,9,false,35,38,73,141,155,296,11,10,21,2,3:01
380542,2014-03-31,2014,PIT,CHN,1,0,1-0,PIT,10,false,33,38,71,154,128,282,9,10,19,1,3:16
380541,2014-03-31,2014,BAL,BOS,2,1,2-1,BAL,9,true,29,40,69,169,117,286,7,13,20,1,2:53
380550,2014-03-31,2014,ARI,SFN,8,9,9-8,SFN,9,false,46,41,87,141,167,308,19,14,33,3,3:25
380553,2014-03-31,2014,NYN,WAS,7,9,9-7,WAS,10,false,40,45,85,179,163,342,10,15,25,4,3:47
380548,2014-03-31,2014,TEX,PHI,10,14,14-10,PHI,9,false,44,50,94,192,172,364,18,23,41,3,3:36
380540,2014-03-31,2014,MIL,ATL,2,0,2-0,MIL,9,true,30,34,64,137,105,242,9,7,16,1,2:45
380549,2014-03-31,2014,ANA,SEA,3,10,10-3,SEA,9,false,36,45,81,167,145,312,8,20,28,4,3:17
380561,2014-04-01,2014,ARI,SFN,5,4,5-4,ARI,9,true,36,36,72,123,147,270,15,9,24,0,2:46
380554,2014-04-01,2014,MIL,ATL,2,5,5-2,ATL,9,false,35,37,72,125,133,258,10,11,21,1,2:34
380556,2014-04-01,2014,MIA,COL,4,3,4-3,MIA,9,true,29,37,66,147,107,254,6,11,17,1,2:24
380557,2014-04-01,2014,SDN,LAN,2,3,3-2,LAN,9,false,36,37,73,161,153,314,10,10,20,2,3:38
380562,2014-04-01,2014,TBA,TOR,2,4,4-2,TOR,9,false,36,37,73,168,141,309,11,11,22,2,3:32
380558,2014-04-01,2014,HOU,NYA,6,2,6-2,HOU,9,true,34,37,71,138,127,265,10,11,21,2,2:51
380560,2014-04-01,2014,ANA,SEA,3,8,8-3,SEA,9,false,35,39,74,176,121,297,10,14,24,2,3:05
380559,2014-04-01,2014,TEX,PHI,3,2,3-2,TEX,9,false,40,35,75,141,144,285,17,10,27,2,3:14
380575,2014-04-02,2014,CIN,SLN,1,0,1-0,CIN,9,false,36,33,69,137,141,278,11,6,17,1,2:45 (2:40 delay)
380574,2014-04-02,2014,ARI,SFN,0,2,2-0,SFN,9,false,31,37,68,149,123,272,3,10,13,2,2:49
380573,2014-04-02,2014,ANA,SEA,2,8,8-2,SEA,9,false,32,42,74,155,132,287,5,17,22,1,2:39
380564,2014-04-02,2014,BAL,BOS,2,6,6-2,BOS,9,false,35,40,75,147,139,286,7,16,23,1,2:43
380577,2014-04-02,2014,NYN,WAS,1,5,5-1,WAS,9,false,32,40,72,160,139,299,5,13,18,0,3:00
380569,2014-04-02,2014,SDN,LAN,1,5,5-1,LAN,9,false,34,39,73,151,132,283,6,13,19,2,3:02
380572,2014-04-02,2014,TEX,PHI,4,3,4-3,TEX,9,false,37,38,75,148,131,279,12,12,24,1,3:02
380576,2014-04-02,2014,TBA,TOR,0,3,3-0,TOR,9,false,32,42,74,167,118,285,6,16,22,4,2:55
380567,2014-04-02,2014,MIA,COL,5,6,6-5,COL,9,false,40,42,82,141,167,308,13,16,29,2,3:23
380568,2014-04-02,2014,DET,KCA,2,1,2-1,DET,10,false,37,37,74,144,158,302,9,9,18,0,3:22
380566,2014-04-02,2014,OAK,CLE,6,1,6-1,OAK,9,true,42,32,74,132,172,304,17,5,22,2,3:05
380571,2014-04-02,2014,HOU,NYA,3,1,3-1,HOU,9,true,32,36,68,160,129,289,9,10,19,3,3:18
380555,2014-04-02,2014,OAK,CLE,4,6,6-4,CLE,9,false,39,44,83,177,160,337,14,18,32,5,3:33
380555,2014-04-02,2014,OAK,CLE,4,6,6-4,CLE,9,false,39,44,83,177,160,337,14,18,32,5,3:33
380570,2014-04-02,2014,CHA,MIN,7,6,7-6,CHA,11,false,49,53,102,228,187,415,18,19,37,5,4:19
380565,2014-04-02,2014,PIT,CHN,4,3,4-3,PIT,16,false,65,70,135,258,256,514,21,24,45,1,5:55
380563,2014-04-02,2014,MIL,ATL,0,1,1-0,ATL,9,false,30,32,62,113,123,236,3,5,8,2,2:36
380580,2014-04-03,2014,MIA,COL,8,5,8-5,MIA,9,true,41,39,80,140,143,283,17,13,30,1,3:14
380587,2014-04-03,2014,TBA,TOR,7,2,7-2,TBA,9,true,38,36,74,150,157,307,16,9,25,2,3:21
380586,2014-04-03,2014,CIN,SLN,6,7,7-6,SLN,9,false,41,42,83,177,173,350,13,18,31,4,3:41 (3:42 delay)
380584,2014-04-03,2014,OAK,SEA,3,2,3-2,OAK,12,false,46,45,91,164,199,363,16,9,25,3,4:02
380588,2014-04-03,2014,NYN,WAS,2,8,8-2,WAS,9,false,37,44,81,174,139,313,11,18,29,1,3:21
380582,2014-04-03,2014,CHA,MIN,9,10,10-9,MIN,9,false,44,43,87,192,165,357,17,15,32,2,3:42
380583,2014-04-03,2014,HOU,NYA,2,4,4-2,NYA,9,false,36,37,73,154,128,282,13,11,24,2,3:17
380578,2014-04-03,2014,BAL,BOS,3,4,4-3,BOS,9,false,37,40,77,148,121,269,11,16,27,2,2:55
380579,2014-04-03,2014,PIT,CHN,2,3,3-2,CHN,9,false,34,33,67,129,133,262,8,8,16,3,2:39
380585,2014-04-03,2014,ARI,SFN,5,8,8-5,SFN,9,false,36,41,77,155,150,305,10,15,25,5,3:11
380594,2014-04-04,2014,NYN,CIN,4,3,4-3,NYN,9,true,33,40,73,151,132,283,9,14,23,3,2:59
380599,2014-04-04,2014,MIA,SDN,8,2,8-2,MIA,9,true,40,37,77,128,138,266,17,11,28,0,2:37
380591,2014-04-04,2014,WAS,ATL,1,2,2-1,ATL,9,false,36,35,71,125,138,263,12,9,21,1,3:03
380595,2014-04-04,2014,BOS,MIL,2,6,6-2,MIL,9,false,34,43,77,145,153,298,11,16,27,2,3:19
380598,2014-04-04,2014,CHN,PHI,2,7,7-2,PHI,9,false,32,43,75,171,128,299,6,15,21,5,3:16
