API Key,Date,Year,Home Team,Away Team,Home Score,Away Score,Final Score,Winning Team,# Innings,End Top Inning?,Home Team PA #,Away Team PA #,Total Number PA,Homne Team # Pitches,Away Team # Pitches,Total # Pitches,Home Team Baserunners,Away Team Baserunners,Total # Baserunners,Pitching Changes,Time
413661,2015-04-05,2015,CHN,SLN,0,3,3-0,SLN,9,false,34,40,74,158,156,314,7,15,22,1,3:04
413658,2015-04-06,2015,CIN,PIT,5,2,5-2,CIN,9,true,32,35,67,132,111,243,8,8,16,2,2:30 (:35 delay)
413654,2015-04-06,2015,HOU,CLE,2,0,2-0,HOU,9,true,28,32,60,122,108,230,5,6,11,1,2:30
413649,2015-04-06,2015,SEA,ANA,4,1,4-1,SEA,9,true,33,32,65,129,124,253,11,7,18,2,2:33
413662,2015-04-06,2015,OAK,TEX,8,0,8-0,OAK,9,true,41,30,71,113,174,287,15,3,18,1,2:45
413657,2015-04-06,2015,WAS,NYN,1,3,3-1,NYN,9,false,32,37,69,123,122,245,4,8,12,3,2:35
413659,2015-04-06,2015,LAN,SDN,6,3,6-3,LAN,9,true,39,35,74,134,148,282,17,11,28,2,3:04
413663,2015-04-06,2015,NYA,TOR,1,6,6-1,TOR,9,false,33,39,72,167,130,297,7,11,18,3,2:59
413651,2015-04-06,2015,TBA,BAL,2,6,6-2,BAL,9,false,35,37,72,154,141,295,11,11,22,5,3:01
413656,2015-04-06,2015,DET,MIN,4,0,4-0,DET,9,true,34,31,65,105,124,229,12,5,17,1,2:30
413650,2015-04-06,2015,MIA,ATL,1,2,2-1,ATL,9,false,32,35,67,112,131,243,9,7,16,2,2:36 (:16 delay)
413653,2015-04-06,2015,KCA,CHA,10,1,10-1,KCA,9,true,42,31,73,115,142,257,21,8,29,3,2:50
413655,2015-04-06,2015,MIL,COL,0,10,10-0,COL,9,false,34,44,78,162,122,284,9,17,26,1,3:00
413652,2015-04-06,2015,PHI,BOS,0,8,8-0,BOS,9,false,33,42,75,184,118,302,5,16,21,1,3:01
413660,2015-04-06,2015,ARI,SFN,4,5,5-4,SFN,9,false,39,40,79,148,132,280,14,15,29,5,3:18
413667,2015-04-07,2015,MIL,COL,2,5,5-2,COL,9,false,33,41,74,148,114,262,8,14,22,0,2:48
413664,2015-04-07,2015,SEA,ANA,0,2,2-0,ANA,9,false,30,33,63,123,111,234,3,6,9,1,2:13
413670,2015-04-07,2015,OAK,TEX,1,3,3-1,TEX,9,false,33,37,70,125,135,260,8,11,19,1,2:30
413668,2015-04-07,2015,LAN,SDN,3,7,7-3,SDN,9,false,36,43,79,175,134,309,11,14,25,4,3:31 (:30 delay)
413666,2015-04-07,2015,TBA,BAL,5,6,6-5,BAL,9,false,37,37,74,151,176,327,10,13,23,4,3:22
413669,2015-04-07,2015,ARI,SFN,7,6,7-6,ARI,9,true,36,39,75,153,140,293,13,14,27,2,3:10
413665,2015-04-07,2015,MIA,ATL,2,12,12-2,ATL,9,false,35,46,81,191,148,339,10,22,32,2,3:14
413676,2015-04-08,2015,HOU,CLE,0,2,2-0,CLE,9,false,33,34,67,127,120,247,7,7,14,3,2:40
413693,2015-04-08,2015,CHN,SLN,2,0,2-0,CHN,9,true,28,34,62,126,111,237,4,7,11,3,2:23
413679,2015-04-08,2015,WAS,NYN,2,1,2-1,WAS,9,true,34,33,67,136,114,250,12,7,19,0,2:21 (:56 delay)
413684,2015-04-08,2015,OAK,TEX,10,0,10-0,OAK,9,true,43,33,76,128,158,286,19,5,24,1,2:55
413672,2015-04-08,2015,MIA,ATL,0,2,2-0,ATL,9,false,35,33,68,130,148,278,9,10,19,2,2:45
413675,2015-04-08,2015,KCA,CHA,7,5,7-5,KCA,9,true,41,35,76,121,152,273,18,10,28,1,3:11
413673,2015-04-08,2015,TBA,BAL,2,0,2-0,TBA,9,true,33,31,64,142,151,293,13,5,18,3,3:00
413671,2015-04-08,2015,SEA,ANA,3,5,5-3,ANA,9,false,37,39,76,142,122,264,12,14,26,2,2:48
