API Key,Date,Year,Home Team,Away Team,Home Score,Away Score,Final Score,Winning Team,# Innings,End Top Inning?,Home Team PA #,Away Team PA #,Total Number PA,Homne Team # Pitches,Away Team # Pitches,Total # Pitches,Home Team Baserunners,Away Team Baserunners,Total # Baserunners,Pitching Changes,Time
490106,2017-04-02,2017,TBA,NYA,7,3,7-3,TBA,9,true,40,39,79,143,141,284,16,11,27,3,3:21
490110,2017-04-02,2017,ARI,SFN,6,5,6-5,ARI,9,false,38,41,79,168,124,292,13,16,29,3,3:23
490099,2017-04-02,2017,SLN,CHN,4,3,4-3,SLN,9,false,44,36,80,143,194,337,20,10,30,2,3:33
490111,2017-04-03,2017,HOU,SEA,3,0,3-0,HOU,9,true,30,34,64,122,104,226,7,8,15,1,2:29
490105,2017-04-03,2017,WAS,MIA,4,2,4-2,WAS,9,true,34,33,67,110,145,255,12,6,18,1,2:47
490103,2017-04-03,2017,MIN,KCA,7,1,7-1,MIN,9,true,39,30,69,117,149,266,16,5,21,2,2:47
490108,2017-04-03,2017,BOS,PIT,5,3,5-3,BOS,9,true,35,38,73,144,133,277,12,11,23,2,3:03
490109,2017-04-03,2017,LAN,SDN,14,3,14-3,LAN,9,true,44,33,77,115,146,261,23,5,28,2,2:52
490104,2017-04-03,2017,OAK,ANA,4,2,4-2,OAK,9,true,37,36,73,154,138,292,15,12,27,2,2:56
490107,2017-04-03,2017,CIN,PHI,3,4,4-3,PHI,9,false,37,40,77,170,117,287,12,16,28,2,3:04
490098,2017-04-03,2017,NYN,ATL,6,0,6-0,NYN,9,true,39,33,72,133,155,288,15,7,22,3,3:13
490101,2017-04-03,2017,MIL,COL,5,7,7-5,COL,9,false,38,37,75,146,155,301,14,13,27,2,3:26
490100,2017-04-03,2017,TEX,CLE,5,8,8-5,CLE,9,false,37,40,77,151,155,306,11,14,25,3,3:21
490112,2017-04-03,2017,BAL,TOR,3,2,3-2,BAL,11,false,41,48,89,179,152,331,11,17,28,4,3:41
490119,2017-04-04,2017,HOU,SEA,2,1,2-1,HOU,9,true,29,38,67,129,110,239,8,10,18,1,2:41
490136,2017-04-04,2017,SLN,CHN,1,2,2-1,CHN,9,false,34,38,72,128,130,258,8,11,19,0,2:57
490117,2017-04-04,2017,LAN,SDN,0,4,4-0,SDN,9,false,30,37,67,148,110,258,7,13,20,0,2:44
490115,2017-04-04,2017,OAK,ANA,6,7,7-6,ANA,9,false,37,37,74,136,174,310,12,12,24,1,3:17
490116,2017-04-04,2017,TBA,NYA,0,5,5-0,NYA,9,false,35,39,74,159,153,312,8,12,20,1,3:07
490102,2017-04-04,2017,CHA,DET,3,6,6-3,DET,9,false,37,39,76,158,153,311,11,13,24,4,3:30
490114,2017-04-04,2017,MIL,COL,5,6,6-5,COL,9,false,36,43,79,166,152,318,11,21,32,3,3:34
490118,2017-04-04,2017,ARI,SFN,4,8,8-4,SFN,9,false,38,48,86,183,154,337,11,19,30,2,3:26
490102,2017-04-04,2017,CHA,DET,3,6,6-3,DET,9,false,37,39,76,158,153,311,11,13,24,4,3:30
490113,2017-04-04,2017,TEX,CLE,3,4,4-3,CLE,9,false,34,37,71,148,121,269,9,13,22,4,3:14
490129,2017-04-05,2017,CIN,PHI,2,0,2-0,CIN,9,true,29,32,61,133,99,232,6,5,11,1,2:25 (:50 delay)
490131,2017-04-05,2017,LAN,SDN,3,1,3-1,LAN,9,true,34,32,66,116,142,258,10,7,17,2,2:43
490128,2017-04-05,2017,TBA,NYA,4,1,4-1,TBA,9,true,33,35,68,148,134,282,10,10,20,4,3:17
490127,2017-04-05,2017,WAS,MIA,6,4,6-4,WAS,9,true,36,39,75,154,149,303,15,14,29,3,3:06
490125,2017-04-05,2017,MIN,KCA,9,1,9-1,MIN,9,true,40,33,73,142,173,315,17,8,25,4,3:06
490122,2017-04-05,2017,TEX,CLE,6,9,9-6,CLE,9,false,37,40,77,153,154,307,12,14,26,4,3:25
490132,2017-04-05,2017,ARI,SFN,8,6,8-6,ARI,9,true,40,39,79,150,152,302,16,12,28,4,3:15
490130,2017-04-05,2017,BOS,PIT,3,0,3-0,BOS,12,false,45,42,87,184,169,353,14,6,20,1,3:53
490120,2017-04-05,2017,NYN,ATL,1,3,3-1,ATL,12,false,43,50,93,203,161,364,9,17,26,2,3:51
490126,2017-04-05,2017,OAK,ANA,0,5,5-0,ANA,9,false,34,40,74,147,145,292,7,16,23,3,3:15
490134,2017-04-05,2017,BAL,TOR,3,1,3-1,BAL,9,true,29,34,63,138,97,235,5,8,13,0,2:23
490133,2017-04-05,2017,HOU,SEA,5,3,5-3,HOU,13,false,55,53,108,206,216,422,16,14,30,5,4:25
490123,2017-04-05,2017,MIL,COL,6,1,6-1,MIL,9,true,31,37,68,173,132,305,11,12,23,1,3:03
490121,2017-04-06,2017,SLN,CHN,4,6,6-4,CHN,9,false,38,42,80,167,152,319,10,14,24,3,3:18
490142,2017-04-06,2017,CIN,PHI,7,4,7-4,CIN,9,true,38,36,74,162,133,295,15,12,27,1,3:05
490144,2017-04-06,2017,LAN,SDN,10,2,10-2,LAN,9,true,44,35,79,132,175,307,20,8,28,2,3:14
490141,2017-04-06,2017,WAS,MIA,3,4,4-3,MIA,10,false,42,44,86,163,150,313,17,19,36,1,3:26 (2:23 delay)
490146,2017-04-06,2017,HOU,SEA,2,4,4-2,SEA,9,false,36,38,74,143,139,282,11,12,23,1,2:57
490139,2017-04-06,2017,MIN,KCA,5,3,5-3,MIN,9,true,40,39,79,145,154,299,17,14,31,4,3:14
490135,2017-04-06,2017,NYN,ATL,6,2,6-2,NYN,9,true,34,32,66,113,115,228,11,6,17,1,2:28
490147,2017-04-06,2017,TBA,TOR,2,5,5-2,TOR,9,false,34,37,71,138,122,260,11,10,21,3,2:56
490140,2017-04-06,2017,OAK,ANA,5,1,5-1,OAK,9,true,33,35,68,141,124,265,9,8,17,2,2:44
490121,2017-04-06,2017,SLN,CHN,4,6,6-4,CHN,9,false,38,42,80,167,152,319,10,14,24,3,3:18
490137,2017-04-06,2017,MIL,COL,1,2,2-1,COL,9,false,36,34,70,133,162,295,11,7,18,1,3:07
490145,2017-04-06,2017,ARI,SFN,9,3,9-3,ARI,9,true,39,36,75,158,141,299,16,9,25,3,3:00
490138,2017-04-06,2017,CHA,DET,11,2,11-2,CHA,9,true,42,36,78,166,177,343,17,10,27,2,3:31
