API Key,Date,Year,Home Team,Away Team,Home Score,Away Score,Final Score,Winning Team,# Innings,End Top Inning?,Home Team PA #,Away Team PA #,Total Number PA,Homne Team # Pitches,Away Team # Pitches,Total # Pitches,Home Team Baserunners,Away Team Baserunners,Total # Baserunners,Pitching Changes,Time
662766,2022-04-07,2022,KCA,CLE,3,1,3-1,KCA,9,true,31,37,68,152,123,275,6,11,17,3,2:49
661042,2022-04-07,2022,ANA,HOU,1,3,3-1,HOU,9,false,31,38,69,140,111,251,6,12,18,5,3:15
662021,2022-04-07,2022,SLN,PIT,9,0,9-0,SLN,9,true,41,32,73,121,168,289,16,8,24,1,3:08
661577,2022-04-07,2022,ATL,CIN,3,6,6-3,CIN,9,false,36,38,74,142,158,300,9,12,21,1,3:01
663418,2022-04-07,2022,ARI,SDN,4,2,4-2,ARI,9,false,34,36,70,165,143,308,11,11,22,4,3:18
663178,2022-04-07,2022,CHN,MIL,5,4,5-4,CHN,9,true,35,40,75,153,151,304,13,15,28,4,3:18
662571,2022-04-07,2022,WAS,NYN,1,5,5-1,NYN,9,false,35,42,77,169,134,303,8,19,27,2,3:31 (1:16 delay)
663417,2022-04-08,2022,ARI,SDN,0,3,3-0,SDN,9,false,30,38,68,141,114,255,3,15,18,2,2:44
661750,2022-04-08,2022,MIN,SEA,1,2,2-1,SEA,9,false,34,39,73,141,132,273,9,13,22,0,2:53
661750,2022-04-08,2022,MIN,SEA,1,2,2-1,SEA,9,false,34,39,73,141,132,273,9,13,22,0,2:53
661131,2022-04-08,2022,PHI,OAK,9,5,9-5,PHI,9,true,39,35,74,115,164,279,16,7,23,2,3:14
662933,2022-04-08,2022,COL,LAN,3,5,5-3,LAN,9,false,38,41,79,152,137,289,10,13,23,2,3:09
661918,2022-04-08,2022,TBA,BAL,2,1,2-1,TBA,9,true,35,37,72,148,146,294,11,11,22,4,3:14
662559,2022-04-08,2022,WAS,NYN,3,7,7-3,NYN,9,false,33,45,78,181,113,294,7,20,27,3,3:43 (:52 delay)
662888,2022-04-08,2022,DET,CHA,5,4,5-4,DET,9,false,39,37,76,158,157,315,14,11,25,2,3:30
661576,2022-04-08,2022,ATL,CIN,7,6,7-6,ATL,9,true,39,37,76,140,148,288,15,10,25,2,3:07
661782,2022-04-08,2022,TOR,TEX,10,8,10-8,TOR,9,true,37,41,78,157,145,302,14,14,28,3,3:26
662124,2022-04-08,2022,SFN,MIA,6,5,6-5,SFN,10,false,40,42,82,156,151,307,14,12,26,4,3:26
661333,2022-04-08,2022,NYA,BOS,6,5,6-5,NYA,11,false,46,43,89,157,162,319,17,14,31,4,3:56
661333,2022-04-08,2022,NYA,BOS,6,5,6-5,NYA,11,false,46,43,89,157,162,319,17,14,31,4,3:56
661041,2022-04-08,2022,ANA,HOU,6,13,13-6,HOU,9,false,41,43,84,167,161,328,13,17,30,4,3:44
661917,2022-04-09,2022,TBA,BAL,5,3,5-3,TBA,9,true,33,36,69,124,114,238,11,10,21,1,2:33
661803,2022-04-09,2022,TOR,TEX,4,3,4-3,TOR,9,true,37,36,73,122,113,235,13,10,23,1,2:39
661130,2022-04-09,2022,PHI,OAK,4,2,4-2,PHI,9,true,34,31,65,115,133,248,12,6,18,1,2:37
662123,2022-04-09,2022,SFN,MIA,1,2,2-1,MIA,9,false,33,35,68,137,131,268,7,8,15,2,2:57
662931,2022-04-09,2022,COL,LAN,3,2,3-2,COL,9,true,34,34,68,125,139,264,10,7,17,1,2:48
662765,2022-04-09,2022,KCA,CLE,1,0,1-0,KCA,10,false,34,35,69,130,126,256,8,7,15,3,2:49
663404,2022-04-09,2022,ARI,SDN,2,5,5-2,SDN,9,false,33,39,72,153,123,276,7,14,21,0,2:52
661575,2022-04-09,2022,ATL,CIN,2,1,2-1,ATL,9,true,36,32,68,130,134,264,14,5,19,3,2:50
661332,2022-04-09,2022,NYA,BOS,4,2,4-2,NYA,9,true,30,37,67,150,109,259,7,9,16,2,2:58
661040,2022-04-09,2022,ANA,HOU,2,0,2-0,ANA,9,true,33,32,65,123,138,261,11,5,16,3,3:02
662588,2022-04-09,2022,WAS,NYN,0,5,5-0,NYN,9,false,32,41,73,153,130,283,5,15,20,2,3:14
661756,2022-04-09,2022,MIN,SEA,3,4,4-3,SEA,9,false,34,39,73,152,146,298,7,13,20,1,3:09
662864,2022-04-09,2022,DET,CHA,2,5,5-2,CHA,9,false,36,37,73,133,150,283,12,10,22,5,3:11
662020,2022-04-09,2022,SLN,PIT,6,2,6-2,SLN,9,true,38,40,78,171,144,315,15,13,28,4,3:32
663205,2022-04-09,2022,CHN,MIL,9,0,9-0,CHN,9,true,44,33,77,140,184,324,20,9,29,2,3:28
661129,2022-04-10,2022,PHI,OAK,1,4,4-1,OAK,9,false,32,39,71,144,103,247,6,13,19,2,2:57
662122,2022-04-10,2022,SFN,MIA,3,2,3-2,SFN,9,true,31,37,68,129,106,235,7,13,20,3,2:43
662570,2022-04-10,2022,WAS,NYN,4,2,4-2,WAS,9,true,31,37,68,141,115,256,6,11,17,3,3:01
661039,2022-04-10,2022,ANA,HOU,1,4,4-1,HOU,9,false,34,39,73,148,131,279,8,13,21,2,3:15
662887,2022-04-10,2022,DET,CHA,1,10,10-1,CHA,9,false,32,43,75,156,134,290,6,16,22,1,2:56
661738,2022-04-10,2022,MIN,SEA,10,4,10-4,MIN,9,true,38,37,75,147,157,304,13,11,24,2,3:11
662934,2022-04-10,2022,COL,LAN,9,4,9-4,COL,9,true,39,38,77,145,156,301,15,12,27,3,3:13
663204,2022-04-10,2022,CHN,MIL,4,5,5-4,MIL,9,false,36,36,72,149,162,311,10,10,20,2,3:03
662019,2022-04-10,2022,SLN,PIT,4,9,9-4,PIT,9,false,35,44,79,180,138,318,9,18,27,1,3:08
661573,2022-04-10,2022,ATL,CIN,3,6,6-3,CIN,9,false,35,40,75,181,142,323,9,13,22,4,3:14
661916,2022-04-10,2022,TBA,BAL,8,0,8-0,TBA,9,true,38,37,75,166,155,321,16,11,27,4,3:10
662755,2022-04-10,2022,KCA,CLE,3,17,17-3,CLE,9,false,36,53,89,194,124,318,9,27,36,2,3:09
661802,2022-04-10,2022,TOR,TEX,6,12,12-6,TEX,9,false,38,45,83,175,143,318,12,18,30,3,3:24
663395,2022-04-10,2022,ARI,SDN,5,10,10-5,SDN,9,false,39,43,82,178,174,352,14,15,29,1,3:15
661316,2022-04-10,2022,NYA,BOS,3,4,4-3,BOS,9,false,41,37,78,137,170,307,16,10,26,3,3:40
662863,2022-04-11,2022,DET,BOS,3,1,3-1,DET,9,true,35,31,66,109,145,254,11,4,15,3,2:50
661036,2022-04-11,2022,ANA,MIA,6,2,6-2,ANA,9,true,36,30,66,124,145,269,13,3,16,1,2:42
661637,2022-04-11,2022,PHI,NYN,5,4,5-4,PHI,9,true,34,37,71,141,142,283,12,10,22,4,3:05
661754,2022-04-11,2022,MIN,SEA,4,0,4-0,MIN,9,true,36,34,70,130,161,291,13,5,18,1,3:00
661315,2022-04-11,2022,NYA,TOR,0,3,3-0,TOR,9,false,35,38,73,135,131,266,10,11,21,2,3:03
661915,2022-04-11,2022,TBA,OAK,2,13,13-2,OAK,9,false,36,45,81,158,140,298,9,17,26,2,3:00
663403,2022-04-11,2022,BAL,MIL,2,0,2-0,BAL,9,true,37,36,73,141,162,303,12,10,22,3,3:24
662116,2022-04-11,2022,SFN,SDN,2,4,4-2,SDN,9,false,40,42,82,170,153,323,15,15,30,2,3:30
662754,2022-04-11,2022,KCA,CLE,7,10,10-7,CLE,9,false,42,44,86,172,154,326,16,18,34,6,3:37
661572,2022-04-11,2022,ATL,WAS,2,11,11-2,WAS,9,false,34,49,83,201,146,347,7,23,30,2,3:33
