,,,,,,,,,,,,,,,,,,,,,
API Key,Date,Year,Home Team,Away Team,Home Score,Away Score,Final Score,Winning Team,# Innings,End Top Inning?,Home Team PA #,Away Team PA #,Total Number PA,Homne Team # Pitches,Away Team # Pitches,Total # Pitches,Home Team Baserunners,Away Team Baserunners,Total # Baserunners,Pitching Changes,Time
529452,2018-04-01,2018,TOR,NYA,7,4,7-4,TOR,9,true,40,39,79,151,159,310,18,11,29,2,3:03
529449,2018-04-01,2018,TEX,HOU,2,8,8-2,HOU,9,false,33,43,76,181,134,315,7,16,23,3,3:13
529455,2018-04-01,2018,NYN,SLN,1,5,5-1,SLN,9,false,36,42,78,208,138,346,10,17,27,1,3:15
529441,2018-04-01,2018,DET,PIT,6,8,8-6,PIT,9,false,41,39,80,174,148,322,14,12,26,2,3:14
529459,2018-04-02,2018,CIN,CHN,1,0,1-0,CIN,9,true,35,33,68,141,124,265,11,8,19,1,2:33
529463,2018-04-02,2018,DET,KCA,6,1,6-1,DET,9,true,38,33,71,132,143,275,15,7,22,2,2:46
529467,2018-04-02,2018,MIL,SLN,4,8,8-4,SLN,9,false,36,40,76,145,132,277,9,15,24,4,2:59
529460,2018-04-02,2018,TOR,CHA,4,2,4-2,TOR,9,true,32,35,67,140,144,284,8,11,19,2,2:51
529457,2018-04-02,2018,HOU,BAL,6,1,6-1,HOU,9,true,40,36,76,131,145,276,17,9,26,1,2:52
529469,2018-04-02,2018,OAK,TEX,3,1,3-1,OAK,9,true,34,39,73,165,129,294,12,11,23,3,3:10
529461,2018-04-02,2018,ANA,CLE,0,6,6-0,CLE,9,false,37,40,77,163,155,318,10,13,23,6,3:25
529458,2018-04-02,2018,MIA,BOS,3,7,7-3,BOS,9,false,40,41,81,159,137,296,14,15,29,1,3:09
529465,2018-04-02,2018,PIT,MIN,5,4,5-4,PIT,9,true,39,37,76,162,167,329,17,11,28,4,3:26
529470,2018-04-02,2018,ATL,WAS,1,8,8-1,WAS,9,false,31,48,79,196,117,313,5,22,27,2,2:55
529462,2018-04-02,2018,SDN,COL,4,7,7-4,COL,9,false,41,44,85,165,156,321,14,18,32,2,3:11
529464,2018-04-02,2018,ARI,LAN,8,7,8-7,ARI,15,false,63,71,134,280,250,530,25,28,53,2,5:46
529479,2018-04-03,2018,NYN,PHI,2,0,2-0,NYN,9,true,33,34,67,151,127,278,10,6,16,4,2:51
529477,2018-04-03,2018,DET,KCA,0,1,1-0,KCA,9,false,31,32,63,122,104,226,4,6,10,3,2:17
529478,2018-04-03,2018,ARI,LAN,6,1,6-1,ARI,9,true,38,32,70,123,154,277,13,5,18,1,2:48
529476,2018-04-03,2018,SDN,COL,8,4,8-4,SDN,9,true,36,36,72,133,149,282,13,11,24,2,2:47
529482,2018-04-03,2018,OAK,TEX,1,4,4-1,TEX,9,false,38,34,72,133,154,287,12,12,24,2,2:50
529480,2018-04-03,2018,SFN,SEA,4,6,6-4,SEA,9,false,34,41,75,153,132,285,9,17,26,2,3:02
529471,2018-04-03,2018,HOU,BAL,10,6,10-6,HOU,9,true,38,41,79,155,159,314,15,14,29,2,3:19
529475,2018-04-03,2018,ANA,CLE,13,2,13-2,ANA,9,true,39,34,73,138,158,296,16,6,22,1,2:49
529474,2018-04-03,2018,TOR,CHA,14,5,14-5,TOR,9,true,45,40,85,164,167,331,22,13,35,3,3:27
529481,2018-04-03,2018,MIL,SLN,5,4,5-4,MIL,9,false,39,39,78,160,153,313,14,12,26,2,3:11
529468,2018-04-03,2018,NYA,TBA,11,4,11-4,NYA,9,true,41,37,78,137,168,305,17,11,28,2,3:29
529483,2018-04-03,2018,ATL,WAS,13,6,13-6,ATL,9,true,44,42,86,154,164,318,21,15,36,3,3:10 (:12 delay)
529468,2018-04-03,2018,NYA,TBA,11,4,11-4,NYA,9,true,41,37,78,137,168,305,17,11,28,2,3:29
529472,2018-04-03,2018,MIA,BOS,2,4,4-2,BOS,13,false,49,50,99,196,227,423,13,15,28,1,4:27
529489,2018-04-04,2018,ARI,LAN,3,0,3-0,ARI,9,true,29,31,60,134,111,245,7,4,11,1,2:25
529495,2018-04-04,2018,OAK,TEX,6,2,6-2,OAK,9,true,38,31,69,103,152,255,15,6,21,2,2:23
529494,2018-04-04,2018,NYA,TBA,7,2,7-2,NYA,9,true,34,32,66,117,162,279,10,7,17,2,2:44 (1:32 delay)
529485,2018-04-04,2018,TOR,CHA,3,4,4-3,CHA,9,false,35,36,71,139,131,270,7,13,20,3,2:56
529484,2018-04-04,2018,HOU,BAL,3,2,3-2,HOU,9,true,34,39,73,158,130,288,10,12,22,0,2:42
529491,2018-04-04,2018,NYN,PHI,4,2,4-2,NYN,9,true,34,33,67,154,152,306,12,7,19,1,3:05
529493,2018-04-04,2018,MIL,SLN,0,6,6-0,SLN,9,false,34,39,73,157,128,285,8,13,21,3,2:48
529492,2018-04-04,2018,SFN,SEA,10,1,10-1,SFN,9,true,43,38,81,136,160,296,19,14,33,1,2:52
529487,2018-04-04,2018,SDN,COL,2,5,5-2,COL,9,false,35,38,73,157,124,281,9,13,22,1,2:41
529490,2018-04-04,2018,PIT,MIN,3,7,7-3,MIN,9,false,38,39,77,153,167,320,12,13,25,3,3:25
529496,2018-04-04,2018,ATL,WAS,7,1,7-1,ATL,9,true,36,40,76,172,157,329,11,14,25,3,3:06
529486,2018-04-04,2018,ANA,CLE,3,2,3-2,ANA,13,false,46,51,97,229,177,406,11,14,25,4,4:28
529501,2018-04-05,2018,SDN,COL,1,3,3-1,COL,9,false,31,39,70,154,123,277,6,12,18,2,2:58
529498,2018-04-05,2018,NYA,BAL,2,5,5-2,BAL,9,false,37,37,74,148,171,319,12,11,23,2,3:15
529500,2018-04-05,2018,PIT,CIN,5,2,5-2,PIT,9,true,38,36,74,133,127,260,14,10,24,2,2:47
529499,2018-04-05,2018,MIL,CHN,0,8,8-0,CHN,9,false,32,47,79,166,122,288,6,20,26,1,2:52
529505,2018-04-05,2018,MIN,SEA,4,2,4-2,MIN,9,true,35,40,75,150,144,294,10,12,22,5,3:09
529504,2018-04-05,2018,WAS,NYN,2,8,8-2,NYN,9,false,35,39,74,150,147,297,9,13,22,1,2:57
529503,2018-04-05,2018,PHI,MIA,5,0,5-0,PHI,9,true,39,31,70,132,177,309,17,4,21,1,3:03
529507,2018-04-05,2018,OAK,TEX,3,6,6-3,TEX,9,false,40,38,78,136,142,278,15,12,27,4,3:10
529497,2018-04-05,2018,SLN,ARI,1,3,3-1,ARI,9,false,34,42,76,173,144,317,7,16,23,3,3:32
529506,2018-04-05,2018,BOS,TBA,3,2,3-2,BOS,12,false,48,47,95,183,161,344,19,12,31,1,3:55
529502,2018-04-05,2018,CHA,DET,7,9,9-7,DET,10,false,46,48,94,198,168,366,17,19,36,4,4:03
529512,2018-04-06,2018,CLE,KCA,3,2,3-2,CLE,9,true,34,35,69,143,128,271,9,11,20,1,2:41
529515,2018-04-06,2018,HOU,SDN,1,4,4-1,SDN,9,false,35,42,77,157,157,314,8,17,25,1,3:11
529508,2018-04-06,2018,COL,ATL,3,8,8-3,ATL,9,false,36,44,80,152,147,299,9,20,29,2,2:56 (1:01 delay)
529516,2018-04-06,2018,TEX,TOR,5,8,8-5,TOR,9,false,39,43,82,170,162,332,14,16,30,2,3:06 (:36 delay)
529510,2018-04-06,2018,MIL,CHN,5,4,5-4,MIL,9,false,44,39,83,193,158,351,18,13,31,5,3:45
529514,2018-04-06,2018,ANA,OAK,13,9,13-9,ANA,9,true,44,39,83,156,167,323,22,14,36,6,3:35
529511,2018-04-06,2018,PIT,CIN,14,3,14-3,PIT,9,true,45,40,85,153,173,326,22,16,38,2,3:26
529509,2018-04-06,2018,NYA,BAL,3,7,7-3,BAL,14,false,53,61,114,265,218,483,14,18,32,2,5:20
529523,2018-04-07,2018,CLE,KCA,0,1,1-0,KCA,9,false,33,32,65,111,138,249,7,5,12,0,2:29
529531,2018-04-07,2018,TEX,TOR,5,1,5-1,TEX,9,true,36,30,66,129,143,272,13,5,18,1,2:37
529530,2018-04-07,2018,BOS,TBA,10,3,10-3,BOS,9,true,39,32,71,106,170,276,15,6,21,3,2:48
529517,2018-04-07,2018,SLN,ARI,5,3,5-3,SLN,9,true,34,39,73,153,136,289,10,12,22,1,2:58
529526,2018-04-07,2018,WAS,NYN,2,3,3-2,NYN,9,false,35,39,74,138,161,299,8,15,23,3,2:59
529527,2018-04-07,2018,ANA,OAK,3,7,7-3,OAK,9,false,35,42,77,184,145,329,9,18,27,4,3:20
529522,2018-04-07,2018,CHA,DET,1,6,6-1,DET,9,false,39,45,84,174,160,334,12,18,30,4,3:39
529520,2018-04-07,2018,MIL,CHN,2,5,5-2,CHN,9,false,33,41,74,166,139,305,6,16,22,5,3:26
529521,2018-04-07,2018,PIT,CIN,4,7,7-4,CIN,9,false,36,43,79,171,121,292,9,17,26,0,3:09
529519,2018-04-07,2018,NYA,BAL,8,3,8-3,NYA,9,true,37,36,73,129,160,289,19,8,27,2,3:03
529529,2018-04-07,2018,MIN,SEA,4,11,11-4,SEA,9,false,40,42,82,171,177,348,14,15,29,5,3:36
529528,2018-04-07,2018,HOU,SDN,1,0,1-0,HOU,10,false,38,37,75,149,167,316,12,7,19,3,3:27
529525,2018-04-07,2018,PHI,MIA,20,1,20-1,PHI,9,true,49,33,82,137,200,337,26,6,32,2,3:21
529518,2018-04-07,2018,COL,ATL,3,2,3-2,COL,10,false,44,40,84,144,173,317,18,13,31,2,3:28
529524,2018-04-07,2018,SFN,LAN,7,5,7-5,SFN,14,false,57,62,119,248,243,491,20,22,42,5,5:16
529536,2018-04-08,2018,PIT,CIN,5,0,5-0,PIT,9,true,35,30,65,110,147,257,13,4,17,1,2:28
529543,2018-04-08,2018,HOU,SDN,4,1,4-1,HOU,9,true,30,36,66,135,133,268,6,9,15,0,2:25
529533,2018-04-08,2018,COL,ATL,0,4,4-0,ATL,9,false,31,36,67,127,113,240,6,10,16,2,2:26
529537,2018-04-08,2018,CHA,DET,0,1,1-0,DET,9,false,31,33,64,117,128,245,6,7,13,2,2:38
529542,2018-04-08,2018,ANA,OAK,6,1,6-1,ANA,9,true,36,31,67,128,147,275,12,5,17,2,2:53
529535,2018-04-08,2018,MIL,CHN,0,3,3-0,CHN,9,false,31,36,67,146,126,272,5,10,15,0,2:41
529538,2018-04-08,2018,CLE,KCA,3,1,3-1,CLE,9,false,34,34,68,134,146,280,8,12,20,2,2:55
529532,2018-04-08,2018,SLN,ARI,1,4,4-1,ARI,9,false,32,35,67,157,125,282,7,9,16,3,2:53
529539,2018-04-08,2018,SFN,LAN,1,2,2-1,LAN,10,false,36,41,77,156,135,291,8,15,23,2,3:04
529540,2018-04-08,2018,PHI,MIA,3,6,6-3,MIA,9,false,36,38,74,147,153,300,11,14,25,3,3:04
529546,2018-04-08,2018,TEX,TOR,4,7,7-4,TOR,9,false,42,39,81,147,179,326,15,13,28,5,3:16
529541,2018-04-08,2018,WAS,NYN,5,6,6-5,NYN,12,false,55,48,103,187,194,381,23,15,38,1,4:03
529545,2018-04-08,2018,BOS,TBA,8,7,8-7,BOS,9,true,39,44,83,190,166,356,15,17,32,4,3:50
529534,2018-04-08,2018,NYA,BAL,7,8,8-7,BAL,12,false,57,54,111,226,225,451,23,20,43,3,4:48
529548,2018-04-09,2018,WAS,ATL,2,0,2-0,WAS,9,true,36,28,64,102,133,235,15,2,17,0,2:21
529554,2018-04-09,2018,MIA,NYN,2,4,4-2,NYN,9,false,39,36,75,155,143,298,13,11,24,2,3:10
529551,2018-04-09,2018,MIN,HOU,0,2,2-0,HOU,9,false,35,37,72,165,149,314,8,11,19,3,3:28
529557,2018-04-09,2018,KCA,SEA,10,0,10-0,KCA,9,true,44,32,76,113,176,289,20,7,27,1,2:45
529556,2018-04-09,2018,COL,SDN,6,7,7-6,SDN,9,false,38,40,78,141,139,280,12,15,27,2,2:46
529550,2018-04-09,2018,CLE,DET,2,0,2-0,CLE,9,true,31,30,61,112,139,251,9,4,13,1,2:39
529547,2018-04-09,2018,SFN,ARI,1,2,2-1,ARI,9,false,30,32,62,124,139,263,5,6,11,0,2:33
529552,2018-04-09,2018,TEX,ANA,3,8,8-3,ANA,9,false,41,43,84,162,161,323,14,16,30,4,3:28
529559,2018-04-09,2018,BAL,TOR,1,7,7-1,TOR,9,false,39,41,80,157,151,308,13,16,29,1,2:56
529549,2018-04-09,2018,PHI,CIN,6,5,6-5,PHI,9,true,35,41,76,169,163,332,10,17,27,2,3:22
529558,2018-04-09,2018,CHA,TBA,4,5,5-4,TBA,9,false,43,42,85,179,154,333,15,17,32,5,3:47 (:21 delay)
529553,2018-04-09,2018,SLN,MIL,4,5,5-4,MIL,10,false,41,46,87,159,176,335,12,17,29,4,3:41
529570,2018-04-10,2018,COL,SDN,2,5,5-2,SDN,9,false,31,39,70,133,111,244,6,14,20,2,2:39
529573,2018-04-10,2018,BAL,TOR,1,2,2-1,TOR,9,false,33,40,73,143,113,256,10,13,23,0,2:37
529561,2018-04-10,2018,WAS,ATL,4,1,4-1,WAS,9,true,35,34,69,124,155,279,10,8,18,1,2:44
529562,2018-04-10,2018,PHI,CIN,6,1,6-1,PHI,9,true,34,32,66,117,138,255,10,6,16,0,2:44
529569,2018-04-10,2018,LAN,OAK,4,0,4-0,LAN,9,true,35,34,69,152,145,297,13,7,20,2,2:49
529571,2018-04-10,2018,KCA,SEA,3,8,8-3,SEA,9,false,36,43,79,146,147,293,10,18,28,3,2:58
529555,2018-04-10,2018,CHN,PIT,5,8,8-5,PIT,9,false,39,41,80,154,150,304,13,14,27,1,3:05
529560,2018-04-10,2018,SFN,ARI,5,4,5-4,SFN,9,false,39,40,79,177,139,316,17,14,31,2,3:24
529555,2018-04-10,2018,CHN,PIT,5,8,8-5,PIT,9,false,39,41,80,154,150,304,13,14,27,1,3:05
529563,2018-04-10,2018,CLE,DET,2,1,2-1,CLE,9,true,29,36,65,155,117,272,6,9,15,1,2:47
529567,2018-04-10,2018,MIA,NYN,6,8,8-6,NYN,9,false,41,40,81,154,143,297,15,12,27,1,2:59
529564,2018-04-10,2018,MIN,HOU,4,1,4-1,MIN,9,true,39,37,76,145,176,321,15,13,28,0,3:21
529565,2018-04-10,2018,TEX,ANA,1,11,11-1,ANA,9,false,39,46,85,174,166,340,11,22,33,1,3:07
